epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,5030.44,1.47027,1.76252,1.70406,0.65359,0.51499,0.58005,0.35561,1.39002,1.43327,1.51892,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
46,5140.95,1.45568,1.7494,1.69627,0.66003,0.52036,0.58304,0.36228,1.37051,1.43166,1.51312,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
47,5251.45,1.45045,1.74125,1.6957,0.66756,0.52027,0.58426,0.35601,1.37772,1.42751,1.52228,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
48,5361.4,1.44678,1.72428,1.69135,0.60386,0.53299,0.58039,0.35198,1.38534,1.43601,1.5244,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225,0.0183675,0.0061225
49,5471.72,1.43179,1.72414,1.69,0.65211,0.52209,0.58603,0.36401,1.37538,1.41648,1.50806,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
50,5581.76,1.44526,1.72184,1.69196,0.63809,0.5326,0.58305,0.36093,1.37449,1.39281,1.50642,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575,0.0178725,0.0059575
51,5691.56,1.42783,1.70323,1.68126,0.64059,0.53896,0.59108,0.36526,1.37316,1.39635,1.51147,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
52,5802.17,1.43025,1.70622,1.68338,0.63991,0.54124,0.59493,0.36015,1.39319,1.41165,1.51966,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
53,5912.28,1.4352,1.71153,1.68667,0.65466,0.51977,0.58659,0.36199,1.36241,1.43129,1.51157,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
54,6023.15,1.42858,1.68211,1.67952,0.642,0.54351,0.59522,0.37243,1.34385,1.3759,1.4797,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275,0.0168825,0.0056275
55,6136.35,1.43331,1.68426,1.67173,0.65241,0.54367,0.59942,0.37079,1.35219,1.39373,1.49688,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
56,6246.64,1.42216,1.67425,1.67145,0.66811,0.53054,0.5953,0.36841,1.36381,1.3822,1.50354,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625,0.0163875,0.0054625
57,6356.83,1.41258,1.65137,1.65951,0.62807,0.54758,0.59349,0.36829,1.3285,1.39506,1.47971,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
58,6467.11,1.42141,1.67443,1.67271,0.6581,0.54286,0.59315,0.36939,1.33827,1.38739,1.496,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
